web-scraper-order,web-scraper-start-url,containers,containers-href,prix,superficie ,adresse,image-src
"1739888607-376","https://sn.coinafrique.com/categorie/terrains","Terrain 500m² -Saly","https://sn.coinafrique.com/annonce/terrains/terrain-500m-saly-5170185","50 000 000 CFA","500 m2","Saly, Sénégal","https://images.coinafrique.com/thumb_4343089_uploaded_image1_1692538503.jpg"
"1739888609-377","https://sn.coinafrique.com/categorie/terrains","Terrains 500m²  - croisement Saly","https://sn.coinafrique.com/annonce/terrains/terrains-500m-croisement-saly-5147616","27 000 000 CFA","500","Mbour, Sénégal","https://images.coinafrique.com/thumb_5147616_uploaded_image1_1737554003.jpg"
"1739888609-378","https://sn.coinafrique.com/categorie/terrains","Terrains 500m²  - croisement Saly","https://sn.coinafrique.com/annonce/terrains/terrains-500m-croisement-saly-5147616","27 000 000 CFA","500","Mbour, Sénégal","https://images.coinafrique.com/thumb_2472956_uploaded_image1_1595494928.jpg"
"1739888609-379","https://sn.coinafrique.com/categorie/terrains","Terrains 500m²  - croisement Saly","https://sn.coinafrique.com/annonce/terrains/terrains-500m-croisement-saly-5147616","27 000 000 CFA","500","Mbour, Sénégal","https://images.coinafrique.com/thumb_4928142_uploaded_image1_1725489003.jpg"
"1739888612-380","https://sn.coinafrique.com/categorie/terrains","Terrain 420m² -Saly Velingara","https://sn.coinafrique.com/annonce/terrains/terrain-420m-saly-velingara-5172075","18 000 000 CFA","420 m2","Mbour, Sénégal","https://images.coinafrique.com/thumb_5172075_uploaded_image1_1738790716.jpg"
"1739888615-381","https://sn.coinafrique.com/categorie/terrains","Terrains 300m²  a casa blue grand Mbour","https://sn.coinafrique.com/annonce/terrains/terrains-300m-a-casa-blue-grand-mbour-5147629","15 000 000 CFA","300","Mbour, Sénégal","https://images.coinafrique.com/thumb_5147629_uploaded_image1_1737554469.jpg"
"1739888618-382","https://sn.coinafrique.com/categorie/terrains","Terrain 100 hectare TF individuel à  Thies","https://sn.coinafrique.com/annonce/terrains/terrain-100-hectare-tf-individuel-a-thies-5156832","15 000 CFA","1000000 m2","Thies, Sénégal",""
"1739888620-383","https://sn.coinafrique.com/categorie/terrains","Terrains 300m² -  Médine extension","https://sn.coinafrique.com/annonce/terrains/terrains-300m-medine-extension-5147651","9 000 000 CFA","300","Mbour, Sénégal","https://images.coinafrique.com/thumb_5147651_uploaded_image1_1737555037.jpg"
"1739888620-384","https://sn.coinafrique.com/categorie/terrains","Terrains 300m² -  Médine extension","https://sn.coinafrique.com/annonce/terrains/terrains-300m-medine-extension-5147651","9 000 000 CFA","300","Mbour, Sénégal","https://images.coinafrique.com/thumb_2726418_uploaded_image1_1604047718.jpg"
"1739888620-385","https://sn.coinafrique.com/categorie/terrains","Terrains 300m² -  Médine extension","https://sn.coinafrique.com/annonce/terrains/terrains-300m-medine-extension-5147651","9 000 000 CFA","300","Mbour, Sénégal","https://images.coinafrique.com/thumb_4169145_uploaded_image1_1680985742.jpg"
