web-scraper-order,web-scraper-start-url,containers,containers-href,prix,superficie ,adresse,image-src
"1739888657-440","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m`  - Guediawaye","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-guediawaye-5189776","25 000 000 CFA","150","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4961231_uploaded_image1_1727262730.jpg"
"1739888657-441","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m`  - Guediawaye","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-guediawaye-5189776","25 000 000 CFA","150","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4950250_uploaded_image1_1726666775.jpg"
"1739888657-442","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m`  - Guediawaye","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-guediawaye-5189776","25 000 000 CFA","150","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4856977_uploaded_image1_1721741963.jpg"
"1739888657-443","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m`  - Guediawaye","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-guediawaye-5189776","25 000 000 CFA","150","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4775718_uploaded_image1_1717359039.jpg"
"1739888657-444","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m`  - Guediawaye","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-guediawaye-5189776","25 000 000 CFA","150","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4645694_uploaded_image1_1710658315.jpg"
"1739888657-445","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m`  - Guediawaye","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-guediawaye-5189776","25 000 000 CFA","150","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4614898_uploaded_image1_1709062380.jpg"
"1739888657-446","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m`  - Guediawaye","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-guediawaye-5189776","25 000 000 CFA","150","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4354991_uploaded_image1_1693328174.jpg"
"1739888657-447","https://sn.coinafrique.com/categorie/terrains","Terrain 150 m`  - Guediawaye","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-guediawaye-5189776","25 000 000 CFA","150","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4377398_uploaded_image1_1694728601.jpg"
"1739888662-448","https://sn.coinafrique.com/categorie/terrains","Terrain - Recasement 1 Almadie","https://sn.coinafrique.com/annonce/terrains/terrain-recasement-1-almadie-5185964","135 000 000 CFA","204 m2","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5185964_uploaded_image1_1739546525.jpg"
"1739888662-449","https://sn.coinafrique.com/categorie/terrains","Terrain - Recasement 1 Almadie","https://sn.coinafrique.com/annonce/terrains/terrain-recasement-1-almadie-5185964","135 000 000 CFA","204 m2","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4706883_uploaded_image1_1713876444.25.jpeg"
"1739888662-450","https://sn.coinafrique.com/categorie/terrains","Terrain - Recasement 1 Almadie","https://sn.coinafrique.com/annonce/terrains/terrain-recasement-1-almadie-5185964","135 000 000 CFA","204 m2","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4575934_uploaded_image1_1706920086.jpg"
"1739888662-451","https://sn.coinafrique.com/categorie/terrains","Terrain - Recasement 1 Almadie","https://sn.coinafrique.com/annonce/terrains/terrain-recasement-1-almadie-5185964","135 000 000 CFA","204 m2","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4543869_uploaded_image1_1705175741.jpg"
"1739888662-452","https://sn.coinafrique.com/categorie/terrains","Terrain - Recasement 1 Almadie","https://sn.coinafrique.com/annonce/terrains/terrain-recasement-1-almadie-5185964","135 000 000 CFA","204 m2","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4495073_uploaded_image1_1702310316.jpg"
"1739888662-453","https://sn.coinafrique.com/categorie/terrains","Terrain - Recasement 1 Almadie","https://sn.coinafrique.com/annonce/terrains/terrain-recasement-1-almadie-5185964","135 000 000 CFA","204 m2","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4255674_uploaded_image1_1686724928.jpg"
"1739888662-454","https://sn.coinafrique.com/categorie/terrains","Terrain - Recasement 1 Almadie","https://sn.coinafrique.com/annonce/terrains/terrain-recasement-1-almadie-5185964","135 000 000 CFA","204 m2","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4264026_uploaded_image1_1687298168.jpg"
"1739888662-455","https://sn.coinafrique.com/categorie/terrains","Terrain - Recasement 1 Almadie","https://sn.coinafrique.com/annonce/terrains/terrain-recasement-1-almadie-5185964","135 000 000 CFA","204 m2","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4084035_uploaded_image1_1675770616.68.jpeg"
